Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hex (24 bit),color
#5d8aa8,93,138,168,#5d8aa8,blue
#f0f8ff,240,248,255,#f0f8ff,blue
#e32636,227,38,54,#e32636,red
#efdecd,239,222,205,#efdecd,beige
#e52b50,229,43,80,#e52b50,red
#ffbf00,255,191,0,#ffbf00,orange
#ff033e,255,3,62,#ff033e,red
#9966cc,153,102,204,#9966cc,purple
#a4c639,164,198,57,#a4c639,green
#f2f3f4,242,243,244,#f2f3f4,white
#cd9575,205,149,117,#cd9575,pink
#915c83,145,92,131,#915c83,purple
#faebd7,250,235,215,#faebd7,beige
#008000,0,128,0,#008000,green
#8db600,141,182,0,#8db600,green
#fbceb1,251,206,177,#fbceb1,pink
#00ffff,0,255,255,#00ffff,blue
#7fffd4,127,255,212,#7fffd4,blue
#4b5320,75,83,32,#4b5320,green
#e9d66b,233,214,107,#e9d66b,yellow
#b2beb5,178,190,181,#b2beb5,gray
#87a96b,135,169,107,#87a96b,green
#ff9966,255,153,102,#ff9966,orange
#a52a2a,165,42,42,#a52a2a,red
#fdee00,253,238,0,#fdee00,yellow
#6e7f80,110,127,128,#6e7f80,gray
#ff2052,255,32,82,#ff2052,red
#007fff,0,127,255,#007fff,blue
#f0ffff,240,255,255,#f0ffff,white
#89cff0,137,207,240,#89cff0,blue
#a1caf1,161,202,241,#a1caf1,blue
#f4c2c2,244,194,194,#f4c2c2,pink
#21abcd,33,171,205,#21abcd,blue
#fae7b5,250,231,181,#fae7b5,beige
#ffe135,255,225,53,#ffe135,yellow
#848482,132,132,130,#848482,gray
#98777b,152,119,123,#98777b,purple
#bcd4e6,188,212,230,#bcd4e6,blue
#9f8170,159,129,112,#9f8170,brown
#f5f5dc,245,245,220,#f5f5dc,white
#ffe4c4,255,228,196,#ffe4c4,beige
#3d2b1f,61,43,31,#3d2b1f,brown
#fe6f5e,254,111,94,#fe6f5e,red
#000000,0,0,0,#000000,black
#ffebcd,255,235,205,#ffebcd,beige
#318ce7,49,140,231,#318ce7,blue
#ace5ee,172,229,238,#ace5ee,blue
#faf0be,250,240,190,#faf0be,beige
#0000ff,0,0,255,#0000ff,blue
#a2a2d0,162,162,208,#a2a2d0,purple
#6699cc,102,153,204,#6699cc,blue
#0d98ba,13,152,186,#0d98ba,blue
#8a2be2,138,43,226,#8a2be2,purple
#8a2be2,138,43,226,#8a2be2,purple
#de5d83,222,93,131,#de5d83,red
#79443b,121,68,59,#79443b,brown
#0095b6,0,149,182,#0095b6,blue
#e3dac9,227,218,201,#e3dac9,gray
#cc0000,204,0,0,#cc0000,red
#006a4e,0,106,78,#006a4e,green
#873260,135,50,96,#873260,purple
#0070ff,0,112,255,#0070ff,blue
#b5a642,181,166,66,#b5a642,brown
#cb4154,203,65,84,#cb4154,red
#1dacd6,29,172,214,#1dacd6,blue
#66ff00,102,255,0,#66ff00,green
#bf94e4,191,148,228,#bf94e4,purple
#c32148,195,33,72,#c32148,red
#ff007f,255,0,127,#ff007f,pink
#08e8de,8,232,222,#08e8de,blue
#d19fe8,209,159,232,#d19fe8,purple
#f4bbff,244,187,255,#f4bbff,pink
#ff55a3,255,85,163,#ff55a3,pink
#fb607f,251,96,127,#fb607f,red
#004225,0,66,37,#004225,green
#cd7f32,205,127,50,#cd7f32,orange
#a52a2a,165,42,42,#a52a2a,red
#ffc1cc,255,193,204,#ffc1cc,pink
#e7feff,231,254,255,#e7feff,blue
#f0dc82,240,220,130,#f0dc82,yellow
#480607,72,6,7,#480607,red
#800020,128,0,32,#800020,red
#deb887,222,184,135,#deb887,beige
#cc5500,204,85,0,#cc5500,orange
#e97451,233,116,81,#e97451,orange
#8a3324,138,51,36,#8a3324,red
#bd33a4,189,51,164,#bd33a4,purple
#702963,112,41,99,#702963,purple
#007aa5,0,122,165,#007aa5,blue
#e03c31,224,60,49,#e03c31,red
#536872,83,104,114,#536872,gray
#5f9ea0,95,158,160,#5f9ea0,blue
#91a3b0,145,163,176,#91a3b0,gray
#006b3c,0,107,60,#006b3c,green
#ed872d,237,135,45,#ed872d,orange
#e30022,227,0,34,#e30022,red
#fff600,255,246,0,#fff600,yellow
#a67b5b,166,123,91,#a67b5b,brown
#4b3621,75,54,33,#4b3621,brown
#1e4d2b,30,77,43,#1e4d2b,green
#a3c1ad,163,193,173,#a3c1ad,green
#c19a6b,193,154,107,#c19a6b,beige
#78866b,120,134,107,#78866b,gray
#ffff99,255,255,153,#ffff99,yellow
#ffef00,255,239,0,#ffef00,yellow
#ff0800,255,8,0,#ff0800,red
#e4717a,228,113,122,#e4717a,pink
#00bfff,0,191,255,#00bfff,blue
#592720,89,39,32,#592720,red
#c41e3a,196,30,58,#c41e3a,red
#00cc99,0,204,153,#00cc99,green
#ff0040,255,0,64,#ff0040,red
#eb4c42,235,76,66,#eb4c42,red
#ff0038,255,0,56,#ff0038,red
#ffa6c9,255,166,201,#ffa6c9,pink
#b31b1b,179,27,27,#b31b1b,red
#99badd,153,186,221,#99badd,blue
#ed9121,237,145,33,#ed9121,orange
#ace1af,172,225,175,#ace1af,green
#b2ffff,178,255,255,#b2ffff,blue
#4997d0,73,151,208,#4997d0,blue
#de3163,222,49,99,#de3163,pink
#ec3b83,236,59,131,#ec3b83,pink
#007ba7,0,123,167,#007ba7,blue
#2a52be,42,82,190,#2a52be,blue
#a0785a,160,120,90,#a0785a,brown
#fad6a5,250,214,165,#fad6a5,beige
#36454f,54,69,79,#36454f,blue
#7fff00,127,255,0,#7fff00,green
#de3163,222,49,99,#de3163,pink
#ffb7c5,255,183,197,#ffb7c5,pink
#cd5c5c,205,92,92,#cd5c5c,red
#d2691e,210,105,30,#d2691e,orange
#ffa700,255,167,0,#ffa700,orange
#98817b,152,129,123,#98817b,gray
#e34234,227,66,52,#e34234,red
#d2691e,210,105,30,#d2691e,orange
#e4d00a,228,208,10,#e4d00a,yellow
#fbcce7,251,204,231,#fbcce7,pink
#0047ab,0,71,171,#0047ab,blue
#d2691e,210,105,30,#d2691e,orange
#6f4e37,111,78,55,#6f4e37,brown
#9bddff,155,221,255,#9bddff,blue
#002e63,0,46,99,#002e63,blue
#8c92ac,140,146,172,#8c92ac,gray
#b87333,184,115,51,#b87333,orange
#996666,153,102,102,#996666,purple
#ff3800,255,56,0,#ff3800,red
#ff7f50,255,127,80,#ff7f50,orange
#f88379,248,131,121,#f88379,pink
#ff4040,255,64,64,#ff4040,red
#893f45,137,63,69,#893f45,purple
#fbec5d,251,236,93,#fbec5d,yellow
#b31b1b,179,27,27,#b31b1b,red
#9aceeb,154,206,235,#9aceeb,blue
#6495ed,100,149,237,#6495ed,blue
#fff8dc,255,248,220,#fff8dc,beige
#fff8e7,255,248,231,#fff8e7,beige
#ffbcd9,255,188,217,#ffbcd9,pink
#fffdd0,255,253,208,#fffdd0,beige
#dc143c,220,20,60,#dc143c,red
#990000,153,0,0,#990000,red
#be0032,190,0,50,#be0032,red
#00ffff,0,255,255,#00ffff,blue
#ffff31,255,255,49,#ffff31,yellow
#f0e130,240,225,48,#f0e130,yellow
#00008b,0,0,139,#00008b,blue
#654321,101,67,33,#654321,brown
#5d3954,93,57,84,#5d3954,purple
#a40000,164,0,0,#a40000,red
#08457e,8,69,126,#08457e,blue
#986960,152,105,96,#986960,brown
#cd5b45,205,91,69,#cd5b45,orange
#008b8b,0,139,139,#008b8b,blue
#536878,83,104,120,#536878,blue
#b8860b,184,134,11,#b8860b,yellow
